Title of minisymposium,Organisers,Minisymposium abstract,Day,Time,Location
Advances in applied numerical linear algebra and its applications,Malena Sabaté Landman and Ander Biguri,"Many applications in scientific computing and engineering involve solving large-scale linear systems and usually rely in readily-available numerical linear algebra tools. However, modern applications might involve more complex and specific needs (e.g. the use of particular matrix structures or the need for specific regularization), making the optimization problems more challenging and calling for new algorithm developments. 

This minisymposium focuses both on recent algorithmic advances for solving large-scale linear systems as well as real-life applications, in an attempt to bringing together different perspectives and providing a space to exchange ideas and highlight new challenges in the areas of iterative methods, regularization and machine learning. ",TUE,AM,2Q48
Neurodynamics,Kyle Wedgwood and Stephen Coombes,"Neurodynamics employs techniques from dynamical systems theory, including bifurcation theory, weakly nonlinear analysis and numerical simulation, to explore the principles by which single neurons generate action potentials (spikes) and synaptic networks generate electrical waves and patterns fundamental for neurobiological function. In this minisymposium, speakers will present on a range of topics including the analysis and control of neuronal oscillations and the propagation of neuronal activity (travelling waves). Mathematical theory will be applied to understand neuronal (patho)physiology, including auditory processing and the brain dynamics associated with epilepsy.",TUE,AM,2Q50/51
Chemo-mechanical couplings in growing tissues,Alexander Erlich,"The functioning of living soft tissues is influenced by a complex interplay of biological, chemical, and mechanical factors. Researchers in fields such as biomechanics, biophysics, and medical engineering have been working to understand these coupling mechanisms and their implications. In this mini-symposium, we review some of the most recent of chemo-mechanical coupling theories for soft biological tissues (e.g., tumors, the cardiovascular and physiological system, nerves) and organoids. The work presented here will show mathematical frameworks capable of capturing intricate multiphysics couplings between growth, finite elasticity, reaction-diffusion systems on growing domains. ",TUE,AM,4Q56
Sea ice modelling,Brian Wetton,"Sea Ice has mathematical challenges on a wide range of time and space scales with  important applications in biology and climate science. At small scales, there is a need to understand the impact of entropy and externally imposed thermal gradients on the shape of brine inclusions in first-year sea ice. There are computational issues to be resolved for intermediate scales of ice formation including the dynamics of mushy layers. At large scales, statistical and machine learning techniques can be used to model sea ice thickness and distribution. Homogenization of small scale structures to large scale behaviour and the inverse problem of inferring small scale behaviour from large scale data is of interest. The session will start with an overview talk. ",TUE,PM,2Q42
IMA Lighthill-Thwaites prize,Institute of Mathematics and its Applications,"The IMA Lighthill-Thwaites prize is a biennial prize established by the IMA in recognition of the achievement of its first two Presidents – Professors Sir James Lighthill and Sir Bryan Thwaites – in laying the foundations of what has become a major scientific institute. It was their mutual interest in the education and training of young people, as much as their involvement in applied mathematics, that has shaped the conditions of the prize. The award is based on a submitted piece of work that describes an aspect of a candidate's original research in any area of the application of mathematics and is suitable for presentation at the BAMC. All candidates have spent no more than five years in further study or full-time equivalent since commencing their (first) PhD and the shortlisted candidates (designated ""finalists"") present their papers in a special session of the BAMC. In 2022/2023, the quality of submissions was so high that eight candidates have been selected to present their work as finalists in the IMA Lighthill-Thwaites prize. More details about the prize (including previous winners) can be found at https://ima.org.uk/awards-medals/ima-lighthill-thwaites-prize/",TUE,PM,2Q49
Modelling and inference in public health,Eduard Campillo-Funollet and James van Yperen,"Mathematical models are prominent in public health services and healthcare. Examples include queueing models, nowcasting and forecasting for demand and capacity planning, systems modelling, and vaccination strategies for epidemiology, but also studies data analysis for diagnostics and treatment efficacy. In this minisymposium, we will focus on derivation of models used in public health and healthcare, how they incorporate available data and different types of uses.
To provide robust and reliable outcomes, we calibrate models with the available data, for instance to model a local population or individual patients. However, estimating model parameters is often challenging, posing problems at the interface between applied mathematics and statistics. As well as novel models, we look to explore different methods that researchers have used to overcome this barrier, the use of statistical methods for missing data and data integration.",TUE,PM,2Q50/51
New mathematical approaches in the life sciences,"Rachel Bennett, Alex Mietke, and Ryan Palmer","From micro to macro-scales, living systems present some of the most fascinating phenomena around us. Many recent developments at the interface of biology and physics have arisen from multi-disciplinary research in which mathematics has played a crucial role. In this minisymposium, we provide a platform for emerging topics that have recently gained traction in mathematical biology. The biological themes covered by the speakers include wound healing, the structure of viruses, modern population dynamics, and sensory biology.
 
In addressing these problems, the speakers will highlight ideas from applied mathematics that extend the traditional remit of mathematical biology exploiting the latest developments in fields such as collective dynamics, group theory, micro-fluidics, geometry, PDE theory, machine learning and electrostatics. Together these topics indicate how a wide arsenal of mathematical methods are required to understand the living world. The broader context and impact of the presented topics will also be visited including: insights for health care and medical research, new perspectives on the ecological impact of human activity, ideas for bio-inspired technological and more.
",TUE,PM,4Q56
Mathematical modelling of sleep and circadian rhythms: from molecular mechanisms to policy,Jake Ahern and Anne Skeldon,"Intrinsic near 24-hour oscillations – so-called circadian rhythms (“circa” for about, “dian” for day) - are found in all forms of life and evolved as a response to the environmental cycle of light-dark determined by the daily rotation of the Earth. These near 24-hour oscillations are present in nearly every cell and regulate many aspects of life from gene function and cell-signalling to physiology and behaviour, including the sleep-wake cycle. In humans, disrupted rhythms are associated with major chronic health conditions including heart disease, some cancers and dementia, and many aspects of our day-to-day function including mood, performance and pain perception.

This minisymposium will be at the intersection of physiology and mathematics as we explore recent developments in circadian and sleep modelling across different species. A multidisciplinary team of scientists will present experimental data and mathematical models, highlighting the symbiotic nature of the two approaches. Mathematical models will range from conceptual phase models to large-scale simulations to investigate the internal mechanisms of circadian rhythms and their external interactions. In addition, recent mathematical methods to determine circadian time will also be presented. This minisymposium aims to deepen our understanding of circadian rhythms from the molecular level to their influence on human health and policy.  ",WED,AM,2Q42
Optimisation and control for nonlinear dynamics,Susana Gomes and Dante Kalise,"Nonlinear dynamics are ubiquitous in mathematical modelling, arising in multi-agent systems, fluid flows, and underactuated robotics, among many others. The solution of optimisation and control problems constrained to nonlinear evolution equations poses both theoretical and computational challenges. This minisyposium aims at discussing recent results by early career researchers on the synthesis of control laws for nonlinear systems
including stabilisation in fluid flow problems, optimal control of agent-based dynamics, and data-driven approaches.",WED,AM,2Q48
Networks and complex systems in society,"Dan Catlin, Jonathan Ward, and David Lloyd","Our everyday lives involve a myriad of interactions with other people, which collectively can give rise to interesting and important phenomena, ranging from traffic on motorways to polarisation of public opinion, stock market crashes and the spread of epidemics. Mathematical modelling can provide important insights into how individual behaviours and interactions impact large-scale phenomena, and such problems are the focus of the network science and complex systems disciplines. In this mini-symposium, early career researchers will present their research from the forefront of mathematical modelling of social systems using network science and complex systems techniques.",WED,AM,2Q49
Metamaterial modelling and design,Bryn Davies and Stefan Szyniszewski,"This session is organised by the UK Metamaterials Network, to showcase the mathematical techniques underpinning recent breakthroughs in metamaterials science. The talks will illustrate a variety of the current methods and the challenges that remain. This minisymposium will demonstrate the ubiquity of mathematical techniques by bringing together researchers from different physical regimes, including electromagnetism, acoustics and mechanics. The aim is to promote the exchange of ideas and knowledge between the different application areas.",WED,AM,4Q05
Asymptotics in active matter,Benjamin Walker,"In active matter, phenomena on the macroscale (in either time, space, or sometimes both) are often driven by behaviours that occur on the microscale. A striking example of such a macroscale behaviour is the surprising formation of turbulent patterns in dense suspensions of motile bacteria, which emerge from the accumulation of many small-scale effects. We can even find multiscale behaviours occurring at the level of a single active body, with many shape-changing swimmers undergoing rapid deformations that, on average, give rise to progression that only occurs over a significantly longer timescale.

In this minisymposium, we will focus on how asymptotic methods can be used to exploit the disparity in scales present in many active matter systems. In particular, we will showcase how various asymptotic approaches have been used to yield insights into emergent, macroscale dynamics through systematic analysis. In doing so, we will explore recent developments in a broad selection of active systems, including active droplets, microswimmers in flows, and quorum-sensing bacterial suspensions.",WED,AM,4Q56
